,from,to,pathway,database
705,brm,Bap111,ppi,ppi
706,CG9662,Kr-h2,ppi,ppi
707,Appl,fz,ppi,ppi
708,ash2,lid,ppi,ppi
709,numb,Past1,ppi,ppi
710,numb,Past1,ppi,ppi
711,ft,Gug,ppi,ppi
712,ft,Gug,ppi,ppi
713,ft,Gug,ppi,ppi
714,Act5C,mor,ppi,ppi
715,dpr16,DIP-epsilon,ppi,ppi
716,dpr16,DIP-epsilon,ppi,ppi
717,robo3,sli,ppi,ppi
718,robo3,sli,ppi,ppi
719,robo3,sli,ppi,ppi
720,alphaTub84D,shot,ppi,ppi
721,alphaTub84D,shot,ppi,ppi
